States,States Code,Year,GDP,Unemployment,Population,Poverty
Delaware,DE,2016,71941.4,4.5,947,11.6
District of Columbia,DC,2016,132217.8,6.2,685,16.3
Florida,FL,2016,978989.7,4.9,"20,520",13.0
Georgia,GA,2016,561718.3,5.4,"10,270",15.4
Hawaii,HI,2016,85670.4,2.9,"1,392",9.3
Idaho,ID,2016,70442.5,3.7,"1,679",11.1
Illinois,IL,2016,826404.7,5.9,"12,580",12.1
Indiana,IN,2016,348439.2,4.4,"6,493",11.8
Iowa,IA,2016,186729.9,3.6,"3,099",9.8
Kansas,KS,2016,164643.7,4.0,"2,859",11.2
Kentucky,KY,2016,201007.2,5.0,"4,383",15.2
Louisiana,LA,2016,235554.2,6.1,"4,573",20.2
Maine,ME,2016,62037.1,3.8,"1,317",12.7
Maryland,MD,2016,391950.9,4.3,"5,930",7.1
Massachusetts,MA,2016,521662.8,4.0,"6,775",9.6
Michigan,MI,2016,500159.5,5.0,"9,875",11.1
Minnesota,MN,2016,350603.6,3.9,"5,430",8.7
Mississippi,MS,2016,109911,5.9,"2,943",21.1
Missouri,MO,2016,308423.3,4.5,"5,878",13.0
Montana,MT,2016,47189.6,4.3,"1,031",11.7
Nebraska,NE,2016,121303.1,3.1,"1,870",9.6
Nevada,NV,2016,156007.4,5.8,"2,941",10.1
New Hampshire,NH,2016,80736.1,2.9,"1,316",6.4
New Jersey,NJ,2016,587049.7,4.9,"8,836",9.4
New Mexico,NM,2016,93043.5,6.7,"2,043",17.8
New York,NY,2016,1590567.8,4.9,"19,460",11.9
North Carolina,NC,2016,536308.5,5.1,"10,060",13.6
North Dakota,ND,2016,54756,3.1,749,11.1
Ohio,OH,2016,638157.5,5.0,"11,440",13.7
Oklahoma,OK,2016,190093.5,4.6,"3,911",14.6
Oregon,OR,2016,214769.3,4.7,"4,124",11.8
Pennsylvania,PA,2016,744847.1,5.3,"12,530",11.1
Rhode Island,RI,2016,58630,5.2,"1,052",11.4
South Carolina,SC,2016,220559.3,4.9,"4,898",14.1
South Dakota,SD,2016,51264.3,3.0,855,14.5
Tennessee,TN,2016,343544.9,4.7,"6,652",14.9
Texas,TX,2016,1633863.3,4.6,"27,660",13.8
Utah,UT,2016,162528.2,3.3,"3,077",8.6
Vermont,VT,2016,32312.7,3.1,622,9.6
Virginia,VA,2016,505107.7,4.0,"8,163",11.4
Washington,WA,2016,495724.9,5.2,"7,289",11.0
West Virginia,WV,2016,73513.3,6.1,"1,808",18.0
Wisconsin,WI,2016,319272.3,3.9,"5,764",10.7
Wyoming,WY,2016,37853.5,5.4,571,10.9
Alabama,AL,2017,216615.5,4.5,"4,801",15.3
Alaska,AK,2017,53550.9,6.5,719,12.1
Arizona,AZ,2017,333099,5.0,"6,981",13.6
Arkansas,AR,2017,123882.6,3.7,"2,921",14.9
California,CA,2017,2740550.3,4.8,"39,250",12.1
Colorado,CO,2017,350209.1,2.6,"5,527",8.9
Connecticut,CT,2017,273875.1,4.4,"3,553",10.6
Delaware,DE,2017,69555.6,4.5,967,8.8
District of Columbia,DC,2017,134298.8,6.1,691,13.9
Florida,FL,2017,1014866.9,4.3,"20,910",13.4
Georgia,GA,2017,583543.3,4.8,"10,230",13.1
Hawaii,HI,2017,87436.4,2.2,"1,402",10.6
Idaho,ID,2017,72935.1,3.2,"1,730",11.5
Illinois,IL,2017,832826.8,4.9,"12,600",11.5
Indiana,IN,2017,357535.8,3.5,"6,532",11.7
Iowa,IA,2017,187125,3.1,"3,053",7.5
Kansas,KS,2017,166273.6,3.6,"2,868",14.3
Kentucky,KY,2017,203564,4.8,"4,395",13.5
Louisiana,LA,2017,239830.7,5.1,"4,535",20.5
Maine,ME,2017,63000.6,3.4,"1,315",12.4
Maryland,MD,2017,399714.5,4.0,"5,977",7.6
Massachusetts,MA,2017,530129.4,3.8,"6,784",11.2
Michigan,MI,2017,505101.5,4.6,"9,895",11.5
Minnesota,MN,2017,354721.9,3.5,"5,619",8.5
Mississippi,MS,2017,110281.4,5.2,"2,948",18.5
Missouri,MO,2017,311273.8,3.7,"5,988",11.4
Montana,MT,2017,48470.5,4.1,"1,041",10.3
Nebraska,NE,2017,123219.9,3.0,"1,878",11.5
Nevada,NV,2017,163199.1,5.0,"2,979",13.2
New Hampshire,NH,2017,81179.6,2.8,"1,333",7.2
New Jersey,NJ,2017,590086.7,4.5,"9,015",9.9
New Mexico,NM,2017,93210.1,6.1,"2,035",19.7
New York,NY,2017,1624800.7,4.6,"19,740",12.7
North Carolina,NC,2017,546810.1,4.5,"10,300",15.2
North Dakota,ND,2017,56530.2,2.6,740,12.4
Ohio,OH,2017,652187.5,5.0,"11,490",12.9
Oklahoma,OK,2017,192538.6,4.0,"3,817",12.8
Oregon,OR,2017,225534.5,4.1,"4,202",11.5
Pennsylvania,PA,2017,754318,5.0,"12,570",10.9
Rhode Island,RI,2017,58771.6,4.5,"1,046",11.3
South Carolina,SC,2017,224937.6,4.2,"4,955",15.2
South Dakota,SD,2017,51615.1,3.1,870,10.7
Tennessee,TN,2017,355417.5,3.7,"6,699",11.3
Texas,TX,2017,1667313,4.3,"28,090",13.2
Utah,UT,2017,172075,3.1,"3,130",8.7
Vermont,VT,2017,32589.2,3.0,613,8.6
Virginia,VA,2017,515167.2,3.7,"8,242",10.5
Washington,WA,2017,527169.4,4.6,"7,425",10.9
West Virginia,WV,2017,75172.4,5.2,"1,793",17.1
Wisconsin,WI,2017,321886.8,3.3,"5,809",9.2
Wyoming,WY,2017,37620.3,4.3,560,13.0
Alabama,AL,2018,220808.8,3.9,"4,877",16.0
Alaska,AK,2018,52479.6,6.0,720,13.1
Arizona,AZ,2018,346398.3,4.8,"7,241",12.8
Arkansas,AR,2018,126371.2,3.7,"2,912",15.9
California,CA,2018,2850970.3,4.2,"39,150",11.9
Colorado,CO,2018,365204.5,3.0,"5,739",9.1
Connecticut,CT,2018,274582.8,3.9,"3,413",10.2
Delaware,DE,2018,70856.4,3.7,976,7.4
District of Columbia,DC,2018,138056.8,5.7,692,14.7
Florida,FL,2018,1050433.8,3.6,"21,120",13.7
Georgia,GA,2018,600934.7,4.0,"10,420",14.8
Hawaii,HI,2018,88836.4,2.4,"1,393",9.2
Idaho,ID,2018,77652.1,2.9,"1,766",11.5
Illinois,IL,2018,851517.2,4.4,"12,590",10.3
Indiana,IN,2018,368762.9,3.4,"6,582",11.6
Iowa,IA,2018,189245.1,2.6,"3,110",8.9
Kansas,KS,2018,169796.9,3.4,"2,835",7.5
Kentucky,KY,2018,205940.1,4.2,"4,445",15.7
Louisiana,LA,2018,245220.3,4.8,"4,510",19.0
Maine,ME,2018,64806.3,3.2,"1,321",11.6
Maryland,MD,2018,402480.9,3.8,"6,030",8.0
Massachusetts,MA,2018,549262.1,3.5,"6,883",8.7
Michigan,MI,2018,516843,4.2,"9,913",10.5
Minnesota,MN,2018,364799.7,3.0,"5,746",7.9
Mississippi,MS,2018,110174.8,4.9,"2,899",19.6
Missouri,MO,2018,314182.4,3.2,"6,026",12.4
Montana,MT,2018,49455,3.7,"1,041",10.3
Nebraska,NE,2018,125543.4,2.9,"1,893",10.5
Nevada,NV,2018,168638.5,4.4,"3,008",13.0
New Hampshire,NH,2018,82269.5,2.6,"1,349",6.1
New Jersey,NJ,2018,606892.2,4.0,"8,790",8.2
New Mexico,NM,2018,96077,4.9,"2,054",16.6
